Customer_ID,Customer_Name,Gender,Age,City,State,Country,Customer_Segment,Registration_Date
CUST00001,Allison Hill,,40.0,BENGALURU,Karnataka,India,Consumer,2023-04-03
CUST00002,Noah Rhodes,Female,33.0,HOUSTON,Texas,USA,Home Office,2023-04-22
CUST00003,Angie Henderson,M,42.0,Houston,Texas,USA,Consumer,2022-01-14
CUST00004,Daniel Wagner,Other,53.0,Kolkata,West Bengal,India,Home Office,2022-07-18
CUST00005,Cristian Santos,Other,32.0,London,England,UK,Home Office,2025-02-04
CUST00006,Connie Lawrence,Male,32.0,DELHI,Delhi,India,Corporate,2023-08-16
CUST00007,Abigail Shaffer,F,53.0,Los Angeles,California,USA,Home Office,2025-12-08
CUST00008,Gina Moore,Other,44.0,Ahmedabad,Gujarat,India,Consumer,2025-08-03
CUST00009,Gabrielle Davis,,29.0,Ahmedabad,Gujarat,India,Home Office,2022-05-16
CUST00010,Ryan Munoz,F,41.0,Manchester,England,UK,Home Office,2023-06-27
CUST00011,Monica Herrera,Male,29.0,Houston,Texas,USA,Consumer,2022-10-11
CUST00012,Jamie Arnold,Other,29.0,Chennai,Tamil Nadu,India,Consumer,2024-02-21
CUST00013,Lisa Hensley,Female,37.0,Bengaluru,Karnataka,India,Home Office,2025-08-05
CUST00014,Michele Williams,,12.0,Jaipur,Rajasthan,India,Consumer,2022-08-06
CUST00015,Dylan Miller,M,,Hyderabad,Telangana,India,Corporate,2024-12-22
CUST00016,Brian Ramirez,Male,28.0,Lucknow,Uttar Pradesh,India,Home Office,2022-06-11
CUST00017,Holly Wood,F,22.0,HYDERABAD,Telangana,India,Consumer,2025-01-30
CUST00018,Derek Zuniga,Male,38.0,Kolkata,West Bengal,India,Consumer,2024-02-04
CUST00019,Lisa Jackson,,24.0,NEW YORK,New York,USA,Consumer,2025-04-20
CUST00020,Carla Gray,,18.0,pune,Maharashtra,India,Home Office,2025-10-02
CUST00021,Margaret Hawkins DDS,M,52.0,Manchester,England,UK,Home Office,2022-07-13
CUST00022,Patty Perez,Male,32.0,Pune,Maharashtra,India,Consumer,2024-04-04
CUST00023,Ethan Adams,M,35.0,LONDON,England,UK,Home Office,2024-08-05
CUST00024,Tommy Walter,Female,17.0,BENGALURU,Karnataka,India,Corporate,2022-01-31
CUST00025,Matthew Foster,M,28.0,Manchester,England,UK,Home Office,16/02/2024
CUST00026,Judy Baker,Other,36.0,Manchester,England,UK,Home Office,2025-04-01
CUST00027,Justin Baker,F,21.0,Manchester,England,UK,Consumer,2024-11-06
CUST00028,Stephanie Ross,Male,39.0,CHICAGO,Illinois,USA,Home Office,2023-05-20
CUST00029,Zachary Hicks,,27.0,New York,New York,USA,Corporate,2023-05-04
CUST00030,Anthony Rodriguez,Female,31.0,DELHI,Delhi,India,Consumer,2025-02-27
CUST00031,Rebecca Henderson,Other,27.0,Los Angeles,California,USA,Home Office,2022-11-20
CUST00032,James Ferrell,Male,57.0,Mumbai,Maharashtra,India,Home Office,2022-08-01
CUST00033,Tricia Valencia,F,34.0,Hyderabad,Telangana,India,Consumer,2023-02-21
CUST00034,Nathan Maldonado,Other,22.0,Delhi,Delhi,India,Corporate,2023-11-15
CUST00035,Debra Davidson,Other,44.0,houston,Texas,USA,Consumer,2025-11-16
CUST00036,Jeffrey Chavez,Other,20.0,HOUSTON,Texas,USA,Consumer,2026-06-19
CUST00037,Sherri Baker,Female,37.0,Bengaluru,Karnataka,India,Consumer,2025-06-25
CUST00038,Cassandra Gaines,,11.0,HOUSTON,Texas,USA,Consumer,2023-11-12
CUST00039,Elizabeth Fowler,M,19.0,Jaipur,Rajasthan,India,Consumer,2022-03-21
CUST00040,Brittany Farmer,Other,37.0,AHMEDABAD,Gujarat,India,Home Office,2023-11-04
CUST00041,Paula Moreno,Female,43.0,Chicago,Illinois,USA,Corporate,2022-02-26
CUST00042,Fred Smith,F,37.0,PUNE,Maharashtra,India,Home Office,2026-02-01
CUST00043,Sherry Decker,,-5.0,Kolkata,West Bengal,India,Corporate,2025-11-07
CUST00044,Anthony Humphrey,Other,31.0,Delhi,Delhi,India,Home Office,2025-09-20
CUST00045,Angelica Tucker,,17.0,Houston,Texas,USA,Consumer,2023-01-28
CUST00046,Philip Cannon,,26.0,Lucknow,Uttar Pradesh,India,Corporate,2023-03-07
CUST00047,John Pierce,Other,29.0,London,England,UK,Home Office,2026-06-19
CUST00048,Shane Henderson,Female,47.0,NEW YORK,New York,USA,Consumer,2023-04-27
CUST00049,Joshua Blair,Female,39.0,Ahmedabad,Gujarat,India,Corporate,2024-07-21
CUST00050,Eric Carney,M,13.0,manchester,England,UK,Home Office,2026-03-18
CUST00051,Jessica Holmes,,38.0,LONDON,England,UK,Home Office,2022-09-06
CUST00052,Danny Morgan,F,30.0,New York,New York,USA,Consumer,2026-01-13
CUST00053,Crystal Robinson,,26.0,Manchester,England,UK,Corporate,2023-07-22
CUST00054,Mark Perez,M,42.0,Delhi,Delhi,India,Home Office,2025-01-11
CUST00055,Shannon Jones,M,47.0,KOLKATA,West Bengal,India,Home Office,2025-01-16
CUST00056,Michael Lewis,M,46.0,Mumbai,Maharashtra,India,Corporate,2022-01-13
CUST00057,Timothy Duncan,M,24.0,Ahmedabad,Gujarat,India,Corporate,2024-03-07
CUST00058,Richard Aguirre,,31.0,Hyderabad,Telangana,India,Corporate,2025-04-27
CUST00059,Brent Jordan,M,38.0,CHENNAI,Tamil Nadu,India,Corporate,2023-03-10
CUST00060,John Daniel,,46.0,Jaipur,Rajasthan,India,Home Office,2022-04-17
CUST00061,Victoria Garcia,M,29.0,Pune,Maharashtra,India,Home Office,2022-02-11
CUST00062,Gerald Hensley,Male,32.0,Kolkata,West Bengal,India,Consumer,2025-05-25
CUST00063,Connor West,M,21.0,LUCKNOW,Uttar Pradesh,India,Home Office,2023-10-01
CUST00064,Donald Wright,Other,20.0,KOLKATA,West Bengal,India,Home Office,2025-07-08
CUST00065,Jessica Callahan,F,44.0,Bengaluru,Karnataka,India,Consumer,2024-12-27
CUST00066,Amber Kidd,Female,51.0,houston,Texas,USA,Home Office,2025-07-25
CUST00067,Tracy House,Other,34.0,Jaipur,Rajasthan,India,Consumer,2024-08-10
CUST00068,Carol Tucker,Male,47.0,Delhi,Delhi,India,Corporate,2025-03-13
CUST00069,James Brown,Other,39.0,Chennai,Tamil Nadu,India,Home Office,2023-07-27
CUST00070,William Baker,M,27.0,KOLKATA,West Bengal,India,Corporate,2024-09-27
CUST00071,Jordan Henderson,Other,39.0,london,England,UK,Home Office,2025-11-17
CUST00072,Whitney Peters,Female,53.0,Los Angeles,California,USA,Consumer,2025-12-10
CUST00073,Brittney Phillips,,34.0,NEW YORK,New York,USA,Home Office,2026-04-10
CUST00074,Lauren Daniels,F,53.0,Lucknow,Uttar Pradesh,India,Consumer,2024-01-10
CUST00075,Amy Silva,F,3.0,Pune,Maharashtra,India,Corporate,2026-03-22
CUST00076,Sarah Moore,M,44.0,London,England,UK,Home Office,2024-09-05
CUST00077,Angela Lopez,M,36.0,Pune,Maharashtra,India,Home Office,2022-06-24
CUST00078,Megan Young,Other,31.0,Ahmedabad,Gujarat,India,Consumer,2023-09-01
CUST00079,Steve Sanchez,F,36.0,Bengaluru,Karnataka,India,Consumer,2025-09-14
CUST00080,Lisa Barnes,M,11.0,Houston,Texas,USA,Consumer,2023-04-20
CUST00081,Kelly Donovan,,32.0,Jaipur,Rajasthan,India,Corporate,2023-02-10
CUST00082,Mike Allen,Other,39.0,HYDERABAD,Telangana,India,Corporate,2023-09-22
CUST00083,Michael Evans,M,52.0,Lucknow,Uttar Pradesh,India,Home Office,2024-10-08
CUST00084,Paul Jones,Male,28.0,JAIPUR,Rajasthan,India,Home Office,2025-10-12
CUST00085,Zachary Ferrell,Female,25.0,Jaipur,Rajasthan,India,Corporate,2024-11-28
CUST00086,Daniel Baker,Other,28.0,Manchester,England,UK,Corporate,2023-10-20
CUST00087,Shirley Suarez,Other,45.0,Lucknow,Uttar Pradesh,India,Corporate,2022-03-17
CUST00088,Christopher Bass,M,38.0,Mumbai,Maharashtra,India,Consumer,2023-01-20
CUST00089,Lisa Archer,,28.0,kolkata,West Bengal,India,Consumer,2025-12-01
CUST00090,Aimee Montoya,M,41.0,chennai,Tamil Nadu,India,Home Office,2023-04-06
CUST00091,Matthew Mcmillan,M,36.0,Hyderabad,Telangana,India,Home Office,2023-07-14
CUST00092,Brian Rodriguez,M,46.0,Hyderabad,Telangana,India,Home Office,2022-10-07
CUST00093,Denise Jacobs,Female,26.0,Jaipur,Rajasthan,India,Corporate,2025-04-17
CUST00094,Christina Walters,Female,31.0,Los Angeles,California,USA,Consumer,2023-10-22
CUST00095,John Whitehead,,30.0,HOUSTON,Texas,USA,Home Office,2025-12-15
CUST00096,Anna Henderson,M,17.0,hyderabad,Telangana,India,Corporate,2025-04-23
CUST00097,Aaron Wise,Other,38.0,Mumbai,Maharashtra,India,Home Office,2022-11-13
CUST00098,Deborah Figueroa,,38.0,Chicago,Illinois,USA,Corporate,2024-12-28
CUST00099,Jessica Smith,M,35.0,Pune,Maharashtra,India,Home Office,2023-08-12
CUST00100,Stephen Mckee,Other,32.0,Bengaluru,Karnataka,India,Consumer,2022-04-05
CUST00101,Sandra Aguilar,M,18.0,Ahmedabad,Gujarat,India,Consumer,2022-12-15
CUST00102,Cameron Parker,M,29.0,manchester,England,UK,Home Office,2023-06-05
